Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Short name:ru,Short name:pr,Data class,Data type,Answers,Members,Allow decimals,Units,Normal low,Normal high
d55d464b-e327-42a7-8d8d-59ec199e7735,,EndTB-Export:ptnt_coughprod,"StemTB Quarterly PTO, If yes Is your cough productive","5a. If yes, Is your cough productive?","5а. Если да, выделяется ли мокрота?","5a. Si es así, ¿Su tos es productiva?",Misc,Coded,True; False; Unknown,,,,,
b6513547-101c-4227-9c34-9a092566b538,,EndTB-Export:ptnt_bldsptm,"StemTB Quarterly PTO, If yes Is there blood in your sputum","5b. If yes, Is there blood in your sputum?","5b. Если да, есть ли кровь в мокроте?","5b. Si es así, ¿Hay sangre en su esputo?",Misc,Coded,True; False; Unknown,,,,,
f7b24b39-fa4d-489b-94f9-892541a54b29,,EndTB-Export:ptnt_fever,"StemTB Quarterly PTO, Do you have fever",6. Do you have fever?,6. Было ли повышение температуры?,6. ¿Tiene fiebre?,Misc,Coded,True; False; Unknown,,,,,
2739fdae-6be3-49ca-a259-3bb88617102e,,EndTB-Export:ptnt_fever_l,"StemTB Quarterly PTO, If yes fever or how long (in days)","6a. If yes, fever or how long(in days)","6а. Если да, температура или как долго (в днях)","6a. Si es así, ¿Cuanto tiempo ha tenido fiebre (días)?",Misc,Numeric,,,,,0,
d4985a11-43dd-4226-ac0a-a3929d96467c,,EndTB-Export:ptnt_ntswt,"StemTB Quarterly PTO, Do you have night sweats",7. Do you have night sweats?,7. Есть ли ночная потливость?,7. ¿Tiene sudores nocturnos?,Misc,Coded,True; False; Unknown,,,,,
8cf1e5a8-bfef-4f57-9857-4dbd9e09bd15,,EndTB-Export:ptnt_wtls,"StemTB Quarterly PTO, Have you had unexplained weight loss",8. Have you had unexplained weight loss?,8. Есть ли необъяснимая потеря веса?,8. ¿Ha tenido una pérdida de peso inexplicable?,Misc,Coded,True; False; Unknown,,,,,
9837d303-97e2-4337-b2a7-430d8d90c1f7,,,"StemTB Quarterly PTO, Clinical questions to patient only",Clinical questions to patient only,Клинические вопросы только для пациента,Preguntas clínicas solo para pacientes,Misc,N/A,,"StemTB Quarterly PTO, Have you had cough for > 2 weeks; StemTB Quarterly PTO, If yes Is your cough productive; StemTB Quarterly PTO, If yes Is there blood in your sputum; StemTB Quarterly PTO, Do you have fever; StemTB Quarterly PTO, If yes fever or how long (in days); StemTB Quarterly PTO, Do you have night sweats; StemTB Quarterly PTO, Have you had unexplained weight loss
",,,,
f256a648-cdc8-4503-aae2-a768ffc2a1fa,,EndTB-Export:ptnt_crntmed,"StemTB Quarterly PTO, Any current medications being taken",10. Any current medications being taken?,10. В данный момент принимает ли какие-либо препараты?,10. ¿Está tomando algún medicamento actualmente,Misc,Coded,True; False,,,,,
92855c0e-be7a-4184-8bb8-35512f763274,,EndTB-Export:ptnt_crntmed_list,"StemTB Quarterly PTO, If yes please list","10a. If yes, please list","10а. Если да, укажате","10a. Si es así, por favor enumere ",Misc,Text,,,,,,
299d635f-d27f-48d9-a89a-f97f9be855a9,,EndTB-Export:ptnt_contdoc,"StemTB Quarterly PTO, Any contact with a medical practitioner since completing TB treatment",11. Any contact with a medical practitioner since completing TB treatment?,11. Был ли контакт с врачом после завершения лечения туберкулеза?,11. ¿Algún contacto con un médico desde que finalizó el tratamiento de TB?,Misc,Coded,True; False,,,,,
c0f9d5ef-2301-47a5-bdbe-9f66540be565,,EndTB-Export:ptnt_vtpurp,"StemTB Quarterly PTO, If yes what was the purpose of visit","11a. If yes, was the visit related to a respiratory problem or respiratory illness?","11а. Если да, был ли визит связан с респираторной проблемой или респираторным заболеванием?","11a. Si es así, ¿La visita estuvo relacionada con un problema respiratorio o una enfermedad respiratoria?",Misc,Coded,True; False,,,,,
bf690e43-5161-45ca-9c50-97ff530a3ade,,EndTB-Export:ptnt_vtoutcome,"StemTB Quarterly PTO, What was the outcome of the visit",11b. What was the outcome of the visit?,11b. Какой результат визита?,11b. ¿Cuál fue el resultado de la visita?,Misc,Text,,,,,,
f53db077-1873-4055-9823-cec5e9a0b3ab,,,"StemTB Quarterly PTO, Medical Visits and Medications",Medical Visits and Medications,Медицинские Осмотры и Препараты,Visitas Medicas y Medicamentos,Misc,N/A,,"StemTB Quarterly PTO, Any current medications being taken; StemTB Quarterly PTO, If yes please list; StemTB Quarterly PTO, Any contact with a medical practitioner since completing TB treatment; StemTB Quarterly PTO, If yes what was the purpose of visit; StemTB Quarterly PTO, What was the outcome of the visit",,,,
8cb0c965-d3a3-4b62-b42b-60ab61275e2e,,EndTB-Export:hhc_tbtx,Any household contact being treated for TB,Household contact treated for TB,Лечится ли кто-то из членов семьи от ТБ,Contacto de domicilio tratado por TB,Misc,Coded,True; False; Unknown,,,,,
205a3f3a-5d02-4b15-b877-86710f444040,,EndTB-Export:hhc_tbsym,Any household contact symptomatic for TB (symptoms list as above),Household contact symptomatic for TB,Есть ли у кого-то из членов семьи симптомы ТБ,Contacto de domicilio sintomático de TB,Misc,Coded,True; False; Unknown,,,,,
e8698b25-c392-4fbb-ba4e-d59c7d53575f,,,"StemTB Quarterly PTO,  Post treatment Household Contacts",Household Contacts,Семейные Контакты,Contactos de domicilio,Misc,N/A,,Any household contact being treated for TB; Any household contact symptomatic for TB (symptoms list as above),,,,
fbe03007-19ba-4975-90ff-9cf7554cdbea,,EndTB-Export:ptnt_tbrlps,"StemTB Quarterly PTO, Is patient a possible TB relapse",Is patient a possible TB relapse,Возможный рецидив ТБ,¿Es una posible recaída de TB?,Misc,Coded,True; False; Unknown,,,,,
8a05ca81-9a9f-4b81-8e14-f62eb05e07e9,,EndTB-Export:ptnt_culture,"StemTB Quarterly PTO, Was a culture ordered",Was a culture ordered?,Было ли назначено проведение посева,¿Se ordenó un cultivo?,Misc,Coded,True; False,,,,,
ae720a0b-6c1a-49ec-9ce3-e5a6eed59b03,,EndTB-Export:ptnt_diagtests,"StemTB Quarterly PTO, List all diagnostic tests ordered",List all diagnostic tests ordered:,Укажите все назначенные диагностические тесты:,Enumere todas las pruebas de diagnóstico solicitadas:,Misc,Text,,,,,,
0dace0de-f6f8-47b0-975e-900d1d9b4c50,,EndTB-Export:d_ptnt_appoint,"StemTB Quarterly PTO, Date of next appointment",Date of next appointment ,Дата следующего приема:,Dia de la próxima visita:,Misc,Date,,,,,,
ba2b10c9-5398-46c8-b167-5be91de28126,,EndTB-Export:ptnt_notes,"StemTB Quarterly PTO, Notes",Notes,Примечания,Notas,Misc,Text,,,,,,
f4fe9b32-9fbb-453d-b7d9-3b3cbebc4df4,,EndTB-Export:postendtxoutcome_compl,"StemTB Quarterly PTO, If 1 year post end-of-treatment post end of treatment outcome form filled in",Post end-of-treatment outcome completed,Исход после завершения лечения выставлен,Resultado final post-tratamiento completado,Misc,Coded,True; False,,,,,
694cfecd-be3f-4039-a5f4-8d0aa7fb795f,,,"StemTB Quarterly PTO, Action at end of assessment",Action at end of assessment,Действие по завершению оценки ,Acción al final de la evaluación,Misc,N/A,,"StemTB Quarterly PTO, Is patient a possible TB relapse; StemTB Quarterly PTO, Was a culture ordered; StemTB Quarterly PTO, List all diagnostic tests ordered; StemTB Quarterly PTO, Date of next appointment; StemTB Quarterly PTO, Notes",,,,
694fcead-be3f-4039-a5f4-8d0aa7fb795f,,EndTB-Export:ptnt_bpns_lft,"StemTB Quarterly PTO, BPNS Subjective score Left",Left,Левая,Izquierdo,Misc,Numeric,,,No,,0,10
694cfecd-be3f-4039-a5f4-8d0aa7fb796d,,EndTB-Export:ptnt_bpns_rt,"StemTB Quarterly PTO, BPNS Subjective score Right",Right,Правая,Derecho,Misc,Numeric,,,No,,0,10
694cfecd-be3f-4129-a5f4-8d0aa7fb795f,,,"StemTB Quarterly PTO, Post treatment BPNS",9.  BPNS subjective score (0-10),9. Субъективная шкала КОПН (0-10),9. Puntación subjetiva del breve descarte de neuropatía periférica (0-10),Misc,N/A,,"StemTB Quarterly PTO, BPNS Subjective score Right; StemTB Quarterly PTO, BPNS Subjective score Left;

",,,,
694cfecd-be3f-4039-a5f4-8d0aa7fb786f,,EndTB-Export:outcome,"StemTB Quarterly PTO EOT, Outcome",End of treatment outcome,Исход завершения лечения,Resultado final del tratamiento,Misc,Coded,"Cured;
Completed;
Died;
Failed;
LTFU;
StemTB EOT, Withdrawn; Not Evaluated",,,,,
694cfecd-be3f-4039-a5f4-8d0bb7fb786d,,EndTB-Export:d_outdecision,"StemTB Quarterly PTO, Date of End of Treatment",Date of End of Treatment,Дата завершения лечения,Fecha de término del tratamiento ,Misc,Date,,,,,,
ccf90209-ce17-4813-a27a-0f30f61fd37d,,,"StemTB Quarterly PTO, Quarterly Post Treatment Template",Quarterly Post Treatment,Ежеквартальная Оценка После Завершения Лечения,Trimestral Post Tratamiento,Misc,N/A,,"StemTB Quarterly PTO EOT, Outcome; StemTB Quarterly PTO, Date of End of Treatment; StemTB Quarterly PTO, Month post end-of-treatment;
StemTB Quarterly PTO, Date of contact; 
StemTB Quarterly PTO, Type of contact;
StemTB Quarterly PTO, Person from whom the information is provided/assessment made;
StemTB Quarterly PTO, Indirect information if patient not seen in person; DATE OF DEATH;
StemTB Quarterly PTO, Clinical questions to patient only;
StemTB Quarterly PTO, Post treatment BPNS;
StemTB Quarterly PTO, Medical Visits and Medications;
StemTB Quarterly PTO, Action at end of assessment",,,,
