Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Short name:ru,Short name:pr,Data class,Data type,Members,Answers
7164a24e-3404-11eb-adc1-0242ac120002,,EndTB-Export:reas_ltf,"StemTB, Reasons for treatment interrruption",Why was the patient's treatment interrupted?,Почему лечение пациента прервано?,¿Por qué se interrumpió el tratamiento del paciente? ,Misc,Coded,,"Adverse event;
Patient refused to finish treatment/bad relation with health worker;
Substance abuse;
Social problem: family, financial, complex social situation;
Left region/country;
No confidence in treatment;
Other;
Unknown"
7164a32a-3404-11eb-adc1-0242ac120002,,EndTB-Export:reas_ltf_oth,"StemTB, Other reasons for treatment interruption","If other, specify","Если другое, укажите","Otro, especifique",Misc,Text,,
7164a3f2-3404-11eb-adc1-0242ac120002,,EndTB-Export:ltf_oi,"StemTB, Additional information on treatment interruption",Comments,Комментарии,Comentarios,Misc,Text,,
7164a4ba-3404-11eb-adc1-0242ac120002,,,"StemTB, LTFU",Lost to Follow-up,Потерян для дальнейшего наблюдения,Perdida en el seguimiento,Misc,N/A,"StemTB, Reasons for treatment interrruption;
StemTB, Other reasons for treatment interruption;
StemTB, Additional information on treatment interruption",
"ef69d778-bc5c-45ca-aa21-b234c51e6dec
",,,"StemTB EOT, Outcome",Outcome,Исход,Resultado,Misc,Coded,,"Cured;
Completed;
Died;
Failed;
StemTB EOT, LFTU; StemTB EOT, Withdrawn;
Not Evaluated"
7164a582-3404-11eb-adc1-0242ac120002,,,"StemTB, Failed",Failed,Неудача лечения,Fracaso,Misc,N/A,"StemTB, Reasons for failure definition;
StemTB, Other reasons for failure definition",
7164a640-3404-11eb-adc1-0242ac120002,,,"StemTB, Died",Died,Умер,Fallecido,Misc,N/A,"DATE OF DEATH;
StemTB, Suspected primary cause of death; EOT, Type of surgery related to death; StemTB, Non TB cause of death; Suspected cause related to TB treatment",
7164a708-3404-11eb-adc1-0242ac120002,,EndTB-Export:outcome,"StemTB, End of Treatment Outcome",Outcome,Исход,Resultado,Misc,Coded,,"Cured;
Died;
Failed;
Lost to follow-up;
StemTB EOT, Withdrawal;
Not Evaluated;"
7164a8fc-3404-11eb-adc1-0242ac120002,,EndTB-Export:transfer,"StemTB, Did the patient transfer out",Did the patient transfer out?,Пациент выбыл?,¿Se transfirió al paciente a otro centro? ,Misc,Coded,,True; False
7164a9ce-3404-11eb-adc1-0242ac120002,,EndTB-Export:reas_noout,"StemTB, Other reasons for no evaluation of outcome","If no, why does the patient have this outcome?","Если нет, почему у пациента такой исход?","Si la respuesta es NO, ¿Por qué tiene este resultado el paciente? ",Misc,Text,,
7164aa8c-3404-11eb-adc1-0242ac120002,,,"StemTB, Not evaluated",Not Evaluated,Не оценивалось,No evaluado,Misc,N/A,"StemTB, Did the patient transfer out; EOT, Transferred to where;
StemTB, Other reasons for no evaluation of outcome",
bb80d45d-e4c5-4be0-aa7c-0e34d2635ee5,,,"StemTB, Outcome End of Treatment Template",End of Treatment,Окончание лечения,Término del tratamiento,Misc,N/A,"StemTB, Tuberculosis treatment end date;
StemTB, End of Treatment Outcome date;
StemTB EOT, Outcome;
StemTB, Died; StemTB, Failed;
StemTB, LTFU;
StemTB EOT, Withdrawal; StemTB, Not evaluated",
